title,company,location,salary,description,requirements,contact,archetype,label,source
Exciting Opportunity for Freshers: Tele-caller Position,Nexus Career Solutions,"Jaipur, Rajasthan","₹25,000/month + Incentives","We are a leading recruitment agency, offering a chance to work with top clients in India. As a Tele-caller, you will be responsible for generating leads and building customer relationships. Training will be provided to freshers. No prior experience required. Apply now!","Graduate in any field, good communication skills, basic computer knowledge. Freshers only, age 21-28 years.",hireus@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Accounts Assistant Wanted | Exciting Placement Opportunity | ₹25,000/month",CareerMax Solutions Pvt Ltd,Jaipur,"₹25,000 - ₹35,000 per month","We are hiring an Accounts Assistant for our esteemed clients. The candidate should have excellent communication skills, proficiency in Tally, and knowledge of accounting principles. Join us for a secure and challenging role with a guaranteed 100% placement.","B.Com/BBA, 0-2 years of experience, proficiency in Tally, MS Office, and excellent communication skills.","CareerMax Solutions Pvt Ltd, Jaipur",placement_consultancy_fee,1,synthetic_indian
Exciting Opportunity for Data Entry Operator!,Rising Star Career Solutions,"Ranchi, Jharkhand","₹25,000 - ₹40,000 per month","Are you a fresher looking for a bright start in your career? Do you have excellent typing skills and attention to detail? We are looking for a talented Data Entry Operator to join our team! With our placement guarantee, you can be assured of a job after completing our training program. A refundable registration fee of ₹2,500 is required to secure your spot. Don't miss out on this opportunity to kickstart your career! Contact us on WhatsApp: +91 98765 43210","Qualification: B.Com/BBA/BA/BSc. Experience: 0-1 year. Skilled in MS Office, typing speed of 40 wpm.",WhatsApp: +91 98765 43210 or email: [rscs.ranchi@gmail.com](mailto:rscs.ranchi@gmail.com),placement_consultancy_fee,1,synthetic_indian
Data Entry Operator Wanted for Immediate Joining!,Bright Career Solutions,Bhopal,"₹30,000-₹40,000/month","We are a leading placement consultancy firm providing guaranteed job placement services. No experience required, no skills required. We provide comprehensive training for freshers. Enroll now and get placed in top MNCs. Only ₹5,000 security deposit, ₹10,000 enrollment fee required. Hurry!","10th pass, any degree, freshers, and students can apply. No prior experience necessary.",Call/SMS/Whatsapp Mr. Kumar @ 9898989898 or Email: [kumar@brightcareers.in](mailto:kumar@brightcareers.in),placement_consultancy_fee,1,synthetic_indian
"Accounts Assistant Wanted! ₹25,000/month salary, Immediate Joining.",Sai Career Solutions,Mysore,"₹22,000/month","We are hiring an Accounts Assistant for our client's company in Mysore. The role involves maintaining ledgers, preparing invoices, and managing accounts payable. The selected candidate will be responsible for maintaining accurate financial records. ₹25,000/month salary, immediate joining.","Candidates with 0-2 years of experience, B.Com, M.Com, or CA Inter can apply. Fluency in Hindi and English is a must. Knowledge of Tally and Excel is preferred.",Call/WhatsApp Mr. Kumar at 9876543210 or mail to [saimanpower@gmail.com](mailto:saimanpower@gmail.com),placement_consultancy_fee,1,synthetic_indian
Back Office Executive Wanted in Delhi!,Dream Placement Solutions,New Delhi,"₹25,000 - ₹35,000 per month","Dream Placement Solutions is a leading recruitment firm in India. We are looking for talented candidates for the position of Back Office Executive. As a Back Office Executive, you will be responsible for handling client queries, data entry, and other administrative tasks. The selected candidates will be trained by our experienced team. We offer a competitive salary and a chance to work with a reputable company. Interested candidates, please note that a registration fee of ₹5,000 is applicable, which will be refunded after successful placement. Last date to apply is 31st March. Act fast! Don't miss this opportunity to kick-start your career.","Graduation in any stream, good communication skills, basic computer knowledge, and a strong desire to learn and grow.",placementdelsolutions@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Data Entry Operator Job Opening in Top MNCs | ₹30,000/month",Sahara Placement Solutions,Kanpur,"₹30,000 - ₹40,000 per month","Are you a Fresher or a Graduate looking for a job in Data Entry? We at Sahara Placement Solutions offer exciting job openings in top MNCs for Data Entry Operators. We require a PAN Card and Aadhaar Card for registration. Verification charges of ₹500 will be applicable. Join our Placement Consultancy today and get placed in top companies. Registration fee of ₹5,000 is refundable if you don't get placed. Call us at 9876543210 or email us at saharaplacements@gmail.com to know more.","Fresh Graduates, Unemployed, Good Typing Skills, Basic Computer Knowledge",saharaplacements@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Accounts Assistant Wanted (₹35,000/month) - Urgent Hiring | Ahmedabad",ABC Placement Services,"Ahmedabad, Gujarat","₹35,000/month","Experienced Accounts Assistant required for our client in Ahmedabad. Must have good knowledge of Tally and Excel. Salary: ₹35,000/month. Interested candidates please WhatsApp us on 98765 43210.","Freshers/Experienced, B.Com/M.Com, Tally, Excel",WhatsApp us on 98765 43210 or join our Telegram group @ABCPlacementServices for more job updates,placement_consultancy_fee,1,synthetic_indian
Data Entry Operator Job Openings for Freshers | Unlimited Earning | Highest Package Guaranteed!,CareerMax Placement Services,"Indore, Madhya Pradesh","₹30,000 - ₹40,000 per month + Incentives","We are hiring Data Entry Operators for our clients. No experience required. 100% placement guaranteed. We charge a security deposit of ₹5,000 and consultancy charges ₹10,000 for processing. Unlimited earning opportunities. Highest package guaranteed. Apply now!","10th pass, basic computer knowledge, good typing speed",WhatsApp: +91 98765 43210,placement_consultancy_fee,1,synthetic_indian
Customer Support Executive - Fortune 500 Company,Global Connect Solutions,"Bhopal, Madhya Pradesh","₹20,000 - ₹30,000 per month","We are a leading Fortune 500 company seeking a highly motivated and detail-oriented Customer Support Executive to join our team. As a Customer Support Executive, you will be responsible for providing top-notch customer service to our clients. If you are a fresher looking to kick-start your career, this is the perfect opportunity for you.",Must have a bachelor's degree in any field. Good communication skills. Proficiency in MS Office. Ability to work in a team environment.,Call/WhatsApp: +91-98765-43210 or Email: [info@globalconnectsolutions.com](mailto:info@globalconnectsolutions.com),placement_consultancy_fee,1,synthetic_indian
"Back Office Executive Required @ ₹25,000/Month - Freshers Welcome!",Shubham Placement Services,Bhopal,"₹25,000 - ₹35,000 per month","We are a leading placement consultancy firm in Bhopal, and we are looking for a Back Office Executive. The selected candidate will be responsible for managing office operations, data entry, and customer interactions. Our company offers 100% placement guarantee, and we have a proven track record of placing candidates in top MNCs. So, if you are looking for a secure and rewarding career, submit your application now!",We are looking for a fresh graduate or a young professional with excellent communication skills. The candidate should have basic computer knowledge and be comfortable working in a team environment.,placement.consultancy.shubham@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Tele-caller Job Opportunity at ABC Placements | ₹18,000/month",ABC Placements,Bhopal,"₹18,000/month","We are hiring Tele-callers who can handle customer service calls and generate leads. The selected candidates will undergo a 1-month training program and will be provided with a comprehensive guide to excel in their role. Interested candidates can send their resumes along with a ₹5,000 joining fee to secure their spot. For more information, message us at abcplacements@yahoo.com",Freshers and experienced candidates with a minimum of 6 months of customer service experience are eligible to apply. Candidates with a good communication skill and a pleasant tone are preferred.,Message us at abcplacements@yahoo.com for more information,placement_consultancy_fee,1,synthetic_indian
"Tele-caller Wanted for BPO Job in [City] | ₹30,000/month",CareerPath Solutions,Bhopal,"₹30,000/month","We are a leading BPO company hiring freshers for tele-caller position in [City]. As a tele-caller, you will be responsible for handling customer calls and providing excellent service. We offer a competitive salary of ₹30,000/month and a chance to grow with our company. Interested candidates can apply with their resume and a passport-sized photo.","Any graduate, freshers only. Good communication skills and a pleasant tone are a must. Ability to work in a team environment and handle customer complaints.","Call/WhatsApp Mr. Kumar at +91 98765 43210 to apply or for more information. Please note that we require a registration fee of ₹5,000 for documentation charges and consultancy charges. Once you pay the fee, we will send you the joining documents and schedule your interview.",placement_consultancy_fee,1,synthetic_indian
"Job Openings for Tele Callers - Earn ₹25,000/month!",ABC Placement Solutions,Bhopal,"₹25,000 - ₹40,000/month","We are hiring Tele Callers for our BPO division. You can earn a handsome salary of ₹25,000 - ₹40,000 per month. No prior experience is required, we provide training. Join us and get a guaranteed placement with a leading company.",Any graduate can apply. No specific skills required. We provide training on the job.,WhatsApp: 9898989898,placement_consultancy_fee,1,synthetic_indian
"Exciting Opportunity for Customer Support Freshers - ₹25,000/month!",Dream Placement Services,"Jaipur, Rajasthan","₹25,000/month",We are a leading placement consultancy firm with 100% placement guarantee. We are looking for bright and enthusiastic Customer Support professionals to join our team. The selected candidates will be working with top MNCs and will be entitled to a competitive salary package. Don't miss this opportunity to kick-start your career! DM us for details.,"Freshers with excellent communication skills, basic computer knowledge, and a positive attitude are encouraged to apply. Knowledge of MS Office and customer support software will be an added advantage.",placementservices@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Data Entry Operator Vacancy: Best Pay in Industry - ₹25,000/month!",Excelstar Placement Services,Indore,"₹25,000/month","We are the best placement consultancy in Indore, with guaranteed job placement in top companies. No experience required, freshers welcome! Our training program will equip you with the skills needed to succeed as a Data Entry Operator. Limited spots available. Processing charges: ₹5,000 (includes training, placement assistance, and certification). Don't miss this opportunity to earn unlimited incentives!","Basic computer knowledge, good typing skills, and a willingness to learn. No prior experience required.",hiremeexcelstar@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Accounts Assistant Wanted | Placement Guaranteed | ₹25,000/month",Excel Placement Services,"Bhopal, Madhya Pradesh","₹25,000 - ₹30,000 per month","We are looking for a diligent Accounts Assistant to join our team. The candidate should have basic knowledge of accounting principles and proficiency in MS Excel. Our consultancy charges ₹2,500 for registration and documentation process, but rest assured, we guarantee placement for a period of 6 months. If you're interested, please contact us for further details.",Fresher in Accounting or related field with basic computer skills. Proficiency in MS Excel and accounting software like Tally,Call/Whatsapp Mr. Kumar at 9876543210 or email [kumar@excellentplacement.com](mailto:kumar@excellentplacement.com),placement_consultancy_fee,1,synthetic_indian
"Job Alert: Accounts Assistant Wanted - ₹30,000/month Salary!",Sai Talent Solutions,Bhopal,"₹30,000/month",Are you a fresh graduate looking for a job? Do you want to get placed in a reputable company? We are here to help! Our placement consultancy has helped thousands of students get placed in top companies. We offer guaranteed job placement with our expert training and guidance. Don't miss this opportunity! Walk-in tomorrow at our office in Bhopal.,Any graduate can apply. Good communication skills and basic computer knowledge required.,"Sai Talent Solutions, Bhopal. Call/Whatsapp: 800-555-1234 for registration and more details.",placement_consultancy_fee,1,synthetic_indian
Job Placement Opportunity for Freshers!!!,Rising Stars Placement Services,Bhopal,"₹25,000-₹35,000 per month","We are a leading Placement Agency in Central India, offering a wide range of job opportunities in various sectors. Our clients are top MNCs and Indian companies. We guarantee 100% placement to our candidates. To facilitate this, we charge a refundable enrollment fee of ₹1,500 and documentation charges of ₹500. Don't miss this chance to kick-start your career.","Bachelor's degree in any field, good communication skills, ability to work in a team.","Call/WhatsApp: +91 98765 43210, Email: [placements@risingstars.co.in](mailto:placements@risingstars.co.in)",placement_consultancy_fee,1,synthetic_indian
Job Placement Opportunity at ABC Corporation - HR Executive,ABC Corporation,Bhopal,"₹25,000-₹35,000 per month","We are a leading Recruitment Agency in India. We are looking for an experienced HR Executive to join our team. The selected candidate will be responsible for managing the recruitment process, interviewing potential candidates, and conducting background checks. We guarantee 100% job placement with our agency. Our training program will equip you with the necessary skills to excel in your role. The processing fee for registration is ₹5,000, which includes documentation charges.",Bachelor's degree in Human Resources or related field. 2+ years of experience in recruitment or HR. Excellent communication and organizational skills.,"Bhopal, Madhya Pradesh. Contact us at 0771-1234567 or email [placement@abccorporation.in](mailto:placement@abccorporation.in)",placement_consultancy_fee,1,synthetic_indian
HR Executive Wanted for Reputed Organization,Sahara Global Solutions,Bhubaneswar,"₹25,000-₹40,000 per month","We are looking for a highly motivated and dynamic HR Executive to join our team. As an HR Executive, you will be responsible for recruitment, employee engagement, and benefits administration. If you have a passion for HR and a strong desire to grow with a reputed organization, then this is the job for you. Please note that we charge a nominal registration fee of ₹1,500 to process your application.",BBA/BBM/BA in HR or related field with 0-2 years of experience. Good communication and interpersonal skills.,"Sahara Global Solutions, Bhubaneswar",placement_consultancy_fee,1,synthetic_indian
HR Executive Wanted for Top MNCs - 100% Placement Guaranteed!,CareerPro India Pvt Ltd,Gwalior,"₹25,000 - ₹35,000 per month","We are hiring enthusiastic and skilled HR Executives for our prestigious clients. As an HR Executive, you will be responsible for coordinating recruitment drives, managing candidate databases, and ensuring smooth onboarding processes. With our 100% placement guarantee, you can rest assured of a secure career with top MNCs. Enrollment fee: ₹2,000, Training fee: ₹5,000, Security Deposit: ₹10,000 (refundable). Salary: ₹25,000 - ₹35,000 per month. Join us today and kick-start your dream career!","Graduate in any field, excellent communication skills, basic computer knowledge, and a keen interest in recruitment.",careers@careerproindia.com,placement_consultancy_fee,1,synthetic_indian
"Freshers Wanted: HR Executive - ₹30,000/month",CareerSpark India Pvt Ltd,Kolkata,"₹30,000/month","We are a leading recruitment agency with 99% job guarantee! We require freshers with 0-1 year of experience for our HR Executive role. You will be working with top MNCs and earning a handsome salary of ₹30,000/month. Join us today and get a refundable joining fee of ₹5,000.","No experience required, freshers only. Good communication skills, basic computer knowledge. We will provide training.","Call/WhatsApp: 9876543210 (Mr. Kumar, Placement Head) or Email: careerspark@gmail.com",placement_consultancy_fee,1,synthetic_indian
Back Office Executive Wanted for Urgent Hiring,Dream Careers India,Bhubaneswar,"₹18,000-₹60,000 per month (Salary negotiable)","We are a leading placement consultancy firm providing end-to-end recruitment solutions to top companies in India. We are looking for a motivated and result-driven Back Office Executive to join our team. As a Back Office Executive, you will be responsible for handling candidate registrations, maintaining database, and providing excellent customer service.","0-1 year of experience in a similar role, good communication skills, basic computer knowledge, and ability to work in a team.",hireme2001@yahoo.co.in,placement_consultancy_fee,1,synthetic_indian
"Data Entry Operator Position - Immediate Joining - ₹25,000/month",CareerMax Placement Services,Jhansi,"₹25,000/month",We are a leading placement consultancy firm providing Data Entry Operator job opportunities to freshers. No prior experience required. Training will be provided on the job. Join our batch today!,"10th pass, basic computer skills, good communication skills, willing to work in a team",Call/WhatsApp 9876543210 for registration and further details. Limited seats available. Last date to apply: 15th June 2024,placement_consultancy_fee,1,synthetic_indian
"Tele-caller Wanted for BPO Role - ₹25,000/month Salary!",Sahil Placement Services,Lucknow,"₹25,000 - ₹30,000 per month","Don't miss this opportunity to kickstart your career as a Tele-caller. We offer 100% placement guarantee and a refundable registration fee of ₹5,000. Documentation charges of ₹1,500 are applicable. Urgent requirement for immediate joining. Freshers and experienced candidates can apply.","Graduate in any discipline, Good communication skills, Basic computer knowledge, Willingness to work in a team","Call/WhatsApp: 9456789012, Email: [sahilplacements@gmail.com](mailto:sahilplacements@gmail.com)",placement_consultancy_fee,1,synthetic_indian
Exciting Job Opportunity for Fresher Callers!,Dream Careers Services Pvt. Ltd.,Indore,"₹20,000 - ₹35,000 per month","We are a leading recruitment agency with 100% placement guarantee. We are looking for enthusiastic and result-driven freshers to join our team as Tele-callers. Your role will be to engage with clients, understand their needs, and provide them with the best possible solutions. We offer a comprehensive training program to enhance your skills and make you industry-ready. Join us and take the first step towards a successful career!",Freshers with a passion for sales and marketing. Good communication skills. Ability to work in a team. Basic computer knowledge.,careeropps@gmail.com,placement_consultancy_fee,1,synthetic_indian
Customer Support Executive - Guaranteed Job!,Nexus Career Solutions,Lucknow,"₹22,000 - ₹35,000 per month","Freshers can apply! No experience needed. We are looking for enthusiastic individuals who can handle customer queries. Join Nexus Career Solutions and get 100% placement guarantee. Pay ₹5,000 as enrollment fee to start your journey.","Any degree, good communication skills, basic computer knowledge","Email: [careers@nexusindia.co](mailto:careers@nexusindia.co), Address: Lucknow",placement_consultancy_fee,1,synthetic_indian
"Accounts Assistant Wanted! ₹35,000/month Job Offer in Mumbai!",Saksham Professional Services,Mumbai,"₹35,000/month","We are a leading recruitment agency in Mumbai, offering a guaranteed job as Accounts Assistant to a well-established company. Don't miss this opportunity to kick-start your career! Register today and secure your spot. Limited seats available. Today only, act fast!",Freshers/Graduates with basic accounting knowledge can apply. No experience required. Good communication skills a must.,info.sakshamcareers@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Customer Support Executive - ₹25,000/month (₹15,000 - ₹45,000)",ABC Placement Solutions,Mysore,"₹25,000 per month","We are hiring Customer Support Executives for our client, a reputed organization. The role involves handling customer queries, resolving issues, and providing excellent support. If you have excellent communication skills, a positive attitude, and a strong desire to learn, we'd love to hear from you!",Freshers and experienced candidates are welcome. Candidates with a degree in any stream and good communication skills can apply. Knowledge of Hindi and English is a must. Training will be provided for the right candidates.,Please call/WhatsApp +91 98765 43210 to know more about the opportunity. Our team will be happy to assist you.,placement_consultancy_fee,1,synthetic_indian
"Accounts Assistant Wanted - ₹15,000-₹1,50,000 per month",JobLink Placement Services,Bhopal,"₹15,000-₹1,50,000 per month","We are hiring an Accounts Assistant for our esteemed client. The selected candidate will be trained and guaranteed a job with a leading company. Our services include documentation charges of ₹2,000 and registration fee of ₹5,000. Don't miss this opportunity to kick-start your career. Limited seats available!","Freshers and unemployed graduates can apply. Candidates with basic knowledge of accounting and MS Office are preferred. Training fee of ₹10,000 will be charged for selected candidates.","JobLink Placement Services, Bhopal",placement_consultancy_fee,1,synthetic_indian
"Customer Support Executive | ₹25,000 per month | 100% Placement Guaranteed!",JobPro Solutions,"Jabalpur, Madhya Pradesh","₹25,000 to ₹35,000 per month","We are hiring for Customer Support role in a leading BPO firm. Freshers and graduates can apply. No prior experience required. We guarantee 100% placement with our expert guidance. Registration charges ₹1,000, bond amount ₹5,000, documentation fee ₹800. Call/WhatsApp 98765-43210 to apply.","10th pass, 12th pass, Graduates from any stream, Good communication skills, Basic computer knowledge",WhatsApp: 98765-43210,placement_consultancy_fee,1,synthetic_indian
Accounts Assistant - Freshers Can Apply!,Sai Management Services Pvt. Ltd.,"Mysore, Karnataka","₹22,000/month","We are hiring freshers as Accounts Assistant. No experience required. Training fee: ₹5,000 (non-refundable). Placement guarantee: 100%. Enroll now and get placed in top companies. Salary: ₹22,000/month. Job Location: Mysore, Karnataka.","10th, 12th, Graduation from any stream. Good communication skills. Basic knowledge of MS Office.",Call/WhatsApp +91-98765-43210 or Email: [saimanagementservices@gmail.com](mailto:saimanagementservices@gmail.com),placement_consultancy_fee,1,synthetic_indian
"Customer Support Executive Wanted for BPO Role - ₹25,000/month",ABC Placement Solutions,Jaipur,"₹25,000/month","We are looking for energetic and motivated candidates for our BPO team. As a Customer Support Executive, you will be responsible for handling customer queries and resolving their issues. Training will be provided. Any graduate can apply.","Graduate in any stream, Good communication skills, Basic computer knowledge","ABC Placement Solutions, Jaipur",placement_consultancy_fee,1,synthetic_indian
"Tele-caller Wanted for Reputed BPO - ₹25,000/month Salary!",ExcelStar Solutions Pvt. Ltd.,Lucknow,"₹25,000/month","We are looking for a dynamic Tele-caller to join our team. The successful candidate will be responsible for handling customer calls and providing them with our services. If you are a fresher looking to start your career, this is the perfect opportunity for you! We guarantee a job and provide a supportive work environment.","Freshers can apply, no experience required. Good communication skills and a pleasant tone are a must. You will be provided with comprehensive training to become a skilled Tele-caller.","Please send your resume to ExcelStar Solutions, Lucknow.",placement_consultancy_fee,1,synthetic_indian
Job Alert: Tele-caller Required,Career Quest Placement Services,Jaipur,"₹20,000-₹30,000/month","Enroll now and get guaranteed job as Tele-caller in top MNCs! No prior experience needed, just 12th pass can apply. We provide comprehensive training and placement assistance. Limited seats available. Registration Fee: ₹1,200. Don't miss this opportunity to kick-start your career!","No specific skills required, just a passion to learn and work hard. Basic computer knowledge is a plus.",WhatsApp: 9876543210,placement_consultancy_fee,1,synthetic_indian
"Data Entry Operator Job Openings in [City] - ₹25,000/month Salary",SmarTech Solutions,Bhubaneswar,"₹25,000/month","We are hiring Data Entry Operators for our esteemed clients. No prior experience is required. Get trained and get placed in top MNCs. Limited seats available, so hurry up! First come first serve basis.","10th pass, basic computer knowledge, ability to work in shifts",hireme123@gmail.com,placement_consultancy_fee,1,synthetic_indian
Back Office Executive Wanted - 100% Placement Assured!,CareerMax Placement Services,"Bhopal, Madhya Pradesh","₹25,000 - ₹35,000 per month","We are looking for a bright and ambitious candidate to join our team as a Back Office Executive. Any graduate or 12th pass can apply, we don't care about the stream or percentage. You just need to have a strong will to learn and grow. 100% placement assured, no need to worry about anything. Just come and join us.","No experience required, Fresher's can apply. Basic computer knowledge is must. Any graduate or 12th pass can apply. Age limit is 22-28 years.",hirewithus@gmail.com or +91 98765 43210,placement_consultancy_fee,1,synthetic_indian
Join TCS as Process Associate - ₹8 LPA (₹1.2 Cr Bond Offered),Tata Consultancy Services,"Mumbai, Maharashtra","₹8,00,000 per annum","We are looking for freshers with 0-3 years of experience for the position of Process Associate. As a Process Associate, you will be responsible for various processes such as data entry, document verification, and customer service. We offer a comprehensive training program to help you learn and grow in your role. Join us for a walk-in interview and get selected on the spot! Don't miss out on this amazing opportunity to kick-start your career with an MNC like TCS.","We require freshers with a strong academic record and good communication skills. Prior experience in process management is not necessary, as we provide a comprehensive training program. You will be expected to work in a team environment and be flexible with working hours.",Call/SMS/WhatsApp at 9876543210 (Mr. Kumar) to confirm your attendance. Please note that only shortlisted candidates will be contacted for further rounds.,fake_mnc_impersonation,1,synthetic_indian
